Flight Report
--------------------------------------------------------------------------------
Flight Number   Departure Airport    Arrival Airport      Departure Time            Aircraft Type  
--------------------------------------------------------------------------------
FL1001          JFK                  HND                  2025-04-27 00:00:00       Boeing 737     
FL1003          ORD                  LHR                  2025-06-05 00:00:00       Boeing 787     
FL1005          DFW                  LHR                  2025-08-30 00:00:00       Boeing 787     
FL1006          DFW                  DXB                  2025-06-28 00:00:00       Airbus A320    
FL1007          LAX                  CDG                  2025-10-12 00:00:00       Boeing 787     
FL1008          JFK                  SIN                  2025-12-05 00:00:00       Airbus A380    
FL1009          ORD                  LHR                  2025-08-12 00:00:00       Boeing 787     
FL1010          LAX                  DXB                  2025-09-23 00:00:00       Airbus A320    
FL1011          DFW                  LHR                  2025-08-17 00:00:00       Airbus A320    
FL1013          ATL                  DXB                  2025-06-03 00:00:00       Boeing 787     
FL1015          ATL                  DXB                  2025-04-20 00:00:00       Boeing 787     
FL1018          ORD                  DXB                  2025-12-06 00:00:00       Airbus A320    
FL1019          ATL                  HND                  2025-09-08 00:00:00       Airbus A320    
FL1021          LAX                  SIN                  2025-07-07 00:00:00       Boeing 787     
FL1022          JFK                  SIN                  2025-06-22 00:00:00       Boeing 787     
FL1023          JFK                  LHR                  2025-05-11 00:00:00       Boeing 787     
FL1024          LAX                  HND                  2025-05-12 00:00:00       Boeing 737     
FL1025          DFW                  SIN                  2025-07-03 00:00:00       Boeing 787     
FL1027          DFW                  HND                  2025-08-02 00:00:00       Boeing 737     
FL1028          ORD                  SIN                  2025-03-30 00:00:00       Airbus A320    
FL1030          ORD                  LHR                  2025-03-24 00:00:00       Boeing 787     
FL1031          DFW                  HND                  2025-06-20 00:00:00       Airbus A380    
FL1032          JFK                  HND                  2025-07-17 00:00:00       Airbus A320    
FL1033          ATL                  HND                  2025-06-22 00:00:00       Boeing 787     
FL1035          ATL                  LHR                  2025-07-03 00:00:00       Airbus A320    
FL1036          ORD                  DXB                  2025-06-09 00:00:00       Airbus A380    
FL1037          JFK                  LHR                  2025-08-04 00:00:00       Boeing 787     
FL1038          ATL                  LHR                  2025-09-24 00:00:00       Boeing 787     
FL1040          LAX                  DXB                  2025-08-24 00:00:00       Airbus A320    
FL1041          ATL                  DXB                  2025-05-16 00:00:00       Airbus A320    
FL1043          DFW                  HND                  2025-03-22 00:00:00       Boeing 787     
FL1046          DFW                  SIN                  2025-08-18 00:00:00       Airbus A320    
FL1047          DFW                  SIN                  2025-08-13 00:00:00       Airbus A320    
FL1048          ORD                  SIN                  2025-07-01 00:00:00       Boeing 737     
FL1049          DFW                  HND                  2025-05-17 00:00:00       Airbus A320    
FL1050          ORD                  SIN                  2025-12-07 00:00:00       Airbus A320    
FL1051          ORD                  LHR                  2025-08-03 00:00:00       Boeing 787     
FL1052          ORD                  SIN                  2025-12-06 00:00:00       Airbus A320    
FL1053          LAX                  DXB                  2025-07-21 00:00:00       Airbus A320    
FL1054          DFW                  LHR                  2025-09-27 00:00:00       Boeing 787     
FL1055          ATL                  HND                  2025-08-16 00:00:00       Boeing 787     
FL1056          DFW                  DXB                  2025-12-10 00:00:00       Airbus A380    
FL1057          ATL                  DXB                  2025-12-06 00:00:00       Boeing 737     
FL1058          ATL                  LHR                  2025-05-08 00:00:00       Boeing 737     
FL1059          LAX                  LHR                  2025-12-22 00:00:00       Airbus A320    
FL1060          JFK                  SIN                  2025-04-15 00:00:00       Airbus A320    
FL1061          ORD                  SIN                  2025-12-01 00:00:00       Boeing 787     
FL1063          ATL                  DXB                  2025-08-17 00:00:00       Boeing 737     
FL1065          JFK                  CDG                  2025-12-09 00:00:00       Airbus A380    
FL1066          LAX                  LHR                  2025-07-16 00:00:00       Boeing 737     
FL1067          DFW                  SIN                  2025-10-05 00:00:00       Airbus A320    
FL1069          DFW                  HND                  2025-06-24 00:00:00       Airbus A320    
FL1070          ATL                  DXB                  2025-09-13 00:00:00       Airbus A380    
FL1071          JFK                  SIN                  2025-03-23 00:00:00       Airbus A380    
FL1072          LAX                  SIN                  2025-05-24 00:00:00       Boeing 787     
FL1073          ORD                  DXB                  2025-10-16 00:00:00       Boeing 737     
FL1074          ORD                  LHR                  2025-04-20 00:00:00       Boeing 737     
FL1075          LAX                  HND                  2025-06-12 00:00:00       Boeing 787     
FL1076          ORD                  LHR                  2025-11-17 00:00:00       Airbus A320    
FL1077          ATL                  CDG                  2025-04-11 00:00:00       Boeing 787     
FL1078          JFK                  DXB                  2025-04-23 00:00:00       Boeing 737     
FL1079          LAX                  LHR                  2025-09-26 00:00:00       Boeing 787     
FL1080          ORD                  LHR                  2025-06-09 00:00:00       Airbus A320    
FL1081          LAX                  CDG                  2025-06-09 00:00:00       Airbus A380    
FL1083          ORD                  HND                  2025-10-02 00:00:00       Airbus A320    
FL1084          ATL                  HND                  2025-10-07 00:00:00       Airbus A320    
FL1085          ORD                  LHR                  2025-05-10 00:00:00       Airbus A320    
FL1086          DFW                  CDG                  2025-10-01 00:00:00       Airbus A320    
FL1090          LAX                  SIN                  2025-07-31 00:00:00       Airbus A380    
FL1091          LAX                  SIN                  2025-07-22 00:00:00       Boeing 737     
FL1092          ORD                  HND                  2025-10-21 00:00:00       Boeing 787     
FL1093          LAX                  HND                  2025-11-30 00:00:00       Airbus A380    
FL1094          LAX                  DXB                  2025-08-02 00:00:00       Airbus A320    
FL1095          ORD                  LHR                  2025-07-09 00:00:00       Boeing 737     
FL1096          ATL                  HND                  2025-11-26 00:00:00       Airbus A320    
FL1097          LAX                  LHR                  2025-05-26 00:00:00       Boeing 787     
FL1098          JFK                  LHR                  2025-07-17 00:00:00       Airbus A380    
FL1099          JFK                  CDG                  2025-04-18 00:00:00       Boeing 737     
FL1100          ORD                  HND                  2025-12-09 00:00:00       Airbus A320    
FL1101          DFW                  DXB                  2025-06-09 00:00:00       Airbus A320    
FL1102          LAX                  LHR                  2025-11-17 00:00:00       Airbus A320    
